Photosynthesis IBL,light reaction,10
Photosynthesis IBL,photosystem II,9.9
Photosynthesis IBL,electron transport chain,9.7
Photosynthesis IBL,reaction center,9.6
Photosynthesis IBL,spectrometry,9.2
Photosynthesis IBL,pigment extraction,9.2
Photosynthesis IBL,photosynthesis,9.1
Photosynthesis IBL,proton gradient,9.1
Photosynthesis IBL,Hill reaction,9.1
Photosynthesis IBL,wavelength,9
Photosynthesis IBL,experimental controls,8.9
Photosynthesis IBL,DCPIP,8.5
Photosynthesis IBL,negative control,8.5
Photosynthesis IBL,positive control,8.5
Photosynthesis IBL,chloroplast,8
Photosynthesis IBL,photopigment,8
Photosynthesis IBL,thylakoid,8
Photosynthesis IBL,scientific process,8
Photosynthesis IBL,spectrophotometer,8
Photosynthesis IBL,plastoquinone,8
Photosynthesis IBL,oxydation,8
Photosynthesis IBL,reduction,8
Photosynthesis IBL,centrifuagation,8
Photosynthesis IBL,water splitting,8
Photosynthesis IBL,sunlight,7
Photosynthesis IBL,electromagnetic wave,7
Photosynthesis IBL,excitation energy,7
Photosynthesis IBL,oxygen,7
Photosynthesis IBL,centrifuge,7
Photosynthesis IBL,solubility,7
Photosynthesis IBL,DCMU,7
Photosynthesis IBL,conjugated systems,7
Photosynthesis IBL,choose lab techniques,7
Photosynthesis IBL,chlorophyll,6
Photosynthesis IBL,light absorption,6
Photosynthesis IBL,rate of photosynthesis,6
Photosynthesis IBL,colors,6
Photosynthesis IBL,charge separation,6
Photosynthesis IBL,ATP synthase,6
Photosynthesis IBL,reduced,6
Photosynthesis IBL,oxidized,6
Photosynthesis IBL,redox,5
Photosynthesis IBL,hydrophobic,5
Photosynthesis IBL,hydrophillic,5
Photosynthesis IBL,water,5
Photosynthesis IBL,polar,5
Photosynthesis IBL,apolar,5
Photosynthesis IBL,vortex,5
Photosynthesis IBL,algae,4
Photosynthesis IBL,algal,4
Photosynthesis IBL,organic molecules,4
Photosynthesis IBL,NADPH,4
Photosynthesis IBL,NADP+,4
Photosynthesis IBL,ATP,4
Photosynthesis IBL,ADP,4
Photosynthesis IBL,photosystem I,4
Photosynthesis IBL,light harvesting complex,4
Photosynthesis IBL,oxygen revolving center,4
Photosynthesis IBL,chemical energy,3
Photosynthesis IBL,structure of atoms,3
Photosynthesis IBL,molecular orbital,3
Photosynthesis IBL,hexane,3
Photosynthesis IBL,pipette,3
Photosynthesis IBL,calvin cycle,2
Photosynthesis IBL,carbon dioxide,2
Photosynthesis IBL,CO2,2
Photosynthesis IBL,biofuel,2
Microscopy,identify microscopic structures,10
Microscopy,epithelial cell,9.8
Microscopy,limits of microscopy,9.6
Microscopy,small intestine,9.4
Microscopy,villi,9
Microscopy,microvilli,9
Microscopy,magnification,9
Microscopy,resolution,9
Microscopy,fluorescent microscopy,8.9
Microscopy,TEM,8.8
Microscopy,light microscope,8.7
Microscopy,objectives,8
Microscopy,extracellular tissue,8
Microscopy,goblet cell,8
Microscopy,analize results,8
Microscopy,villus,7.5
Microscopy,smooth muscle cells,7.5
Microscopy,extracellular matrix,7
Microscopy,brush border,7
Microscopy,simple columnar epithelium,7
Microscopy,transmission electron microscope,7
Microscopy,wavelengths,7
Microscopy,inflammation,7
Microscopy,chemical staining,6
Microscopy,lymphocyte,6
Microscopy,lamina propria,6
Microscopy,mucus,6
Microscopy,virus,6
Microscopy,barrier function of epithelium,6
Microscopy,apical side,6
Microscopy,basal side,6
Microscopy,MAS,6
Microscopy,cell junctions,6
Microscopy,peristaltic movement,5
Microscopy,connective tissue,5
Microscopy,intestinal lumen,5
Microscopy,immunology,5
Microscopy,immune system,5
Microscopy,immersion oil,5
Microscopy,nutrient uptake,5
Microscopy,retro virus,5
Microscopy,DAPI,5
Microscopy,filter dice,5
Microscopy,electromagentic waves,5
Microscopy,absorptive enterocytes,4
Microscopy,mitochondria,4
Microscopy,digestion,4
Microscopy,desmosomes,4
Microscopy,adherens junctions,4
Microscopy,tight junctions,4
Microscopy,contrast,4
Microscopy,malabsorbtion syndrome,4
Microscopy,eosin,3
Microscopy,fuchsin,3
Microscopy,anilin,3
Microscopy,orange G,3
Microscopy,crypt of Lieberkuhn,3
Microscopy,RNA virus,3
Microscopy,mucin,3
Microscopy,revolving nose piece,3
Microscopy,refraction,3
Microscopy,glycocalyx,3
Microscopy,brush cells,3
Microscopy,chiken,3
Microscopy,phalloidin,3
Microscopy,actin fibers,3
Microscopy,UV light,3
Microscopy,antibodies,3
Microscopy,antibody,3
Microscopy,H&E stain,2
Bacteria Isolation,bacterial isolation,10
Bacteria Isolation,streaking technique,10
Bacteria Isolation,incubation,9
Bacteria Isolation,Salmonella shigella agar,9
Bacteria Isolation,colony selection,9
Bacteria Isolation,sterile technique,9
Bacteria Isolation,practical lab work,8
Bacteria Isolation,bacterial identification,8
Bacteria Isolation,Salmonella infection,7.8
Bacteria Isolation,wire loop,7.6
Bacteria Isolation,growth temperature,7
Bacteria Isolation,agar plate,7
Bacteria Isolation,incubator,7
Bacteria Isolation,antibiotics,7
Bacteria Isolation,inoculation,7
Bacteria Isolation,sterililization,6.9
Bacteria Isolation,E. coli,6
Bacteria Isolation,Escherichia coli,6
Bacteria Isolation,antibiotic resistance,6
Bacteria Isolation,growh medium,6
Bacteria Isolation,bacteria growth,6
Bacteria Isolation,selection pressure,6
Bacteria Isolation,growth media,6
Bacteria Isolation,Salmonella pandemic,5
Bacteria Isolation,experimental control,4
Bacteria Isolation,negative control,3
Bacteria Isolation,positive control,3
Next Generation Sequencing,next generation sequencing,10
Next Generation Sequencing,cluster generation,10
Next Generation Sequencing,NGS workflow,10
Next Generation Sequencing,SNP profiling,9
Next Generation Sequencing,A-tailing,9
Next Generation Sequencing,adapter ligation,9
Next Generation Sequencing,end-repair,8
Next Generation Sequencing,data analysis,8
Next Generation Sequencing,flow cell,8
Next Generation Sequencing,bridge PCR,8
Next Generation Sequencing,magnetic beads,7
Next Generation Sequencing,parallel sequencing,7
Next Generation Sequencing,single-end sequencing,7
Next Generation Sequencing,PCR,6
Next Generation Sequencing,ancient DNA samples,5
Next Generation Sequencing,DNA purification,5
Next Generation Sequencing,blunt end,5
Next Generation Sequencing,Greenlandic man,5
Next Generation Sequencing,taq-polymerase,5
Next Generation Sequencing,polymerase,4
Next Generation Sequencing,nucleotides,4
Next Generation Sequencing,base pairing,4
Next Generation Sequencing,sanger sequencing,4
Next Generation Sequencing,fluorophore,4
Next Generation Sequencing,FASTQ,4
Next Generation Sequencing,ancient bones,3
Next Generation Sequencing,nuclease,3
Next Generation Sequencing,adenine,3
Next Generation Sequencing,primer,3
Next Generation Sequencing,complementary sequence,3
Next Generation Sequencing,ligation,3
Next Generation Sequencing,T4 DNA polymerase,3
Next Generation Sequencing,thyrosine,2
Molecular Cloning,DNA,8
Molecular Cloning,Reporter gene,8
Molecular Cloning,Plasmid,7
Molecular Cloning,Vector plasmid,7
Molecular Cloning,DNA repair,6
Molecular Cloning,Tet-off,6
Molecular Cloning,Restriction ,6
Molecular Cloning,Gene isolation,6
Molecular Cloning,EcoRI,6
Molecular Cloning,XhoI,6
Molecular Cloning,XbaI,6
Molecular Cloning,DNA break,5
Molecular Cloning,PCR,5
Molecular Cloning,DNA isolation,5
Molecular Cloning,pTRE,5
Molecular Cloning,Antibiotic selection,5
Molecular Cloning,Transformation,5
Molecular Cloning,Elecroporation,5
Molecular Cloning,Antibotic resistance,5
Molecular Cloning,Restriction enzyme,4
Molecular Cloning,Gel extraction,4
Molecular Cloning,DOX,4
Molecular Cloning,Ligase,4
Molecular Cloning,Phenol-chloroform extraction,4
Molecular Cloning,NanoDrop,4
Molecular Cloning,Base Pair,4
Molecular Cloning,UV radiation,4
Molecular Cloning,Yeast,3
Molecular Cloning,Spread technique,3
Molecular Cloning,Buffer,3
Molecular Cloning,Zeocin,3
Molecular Cloning,Jellyfish,2
Cytogenetics,Lesihman staining,5
Cytogenetics,Colcemid,5
Cytogenetics,Diagnosis,5
Cytogenetics,Array CGH,5
Cytogenetics,Amniocentesis,5
Cytogenetics,Karyogram,5
Cytogenetics,DNA extraction,4
Cytogenetics,Chromosome,4
Cytogenetics,Balanced duplication,4
Cytogenetics,Fetus,3
Cytogenetics,Syndrome,3
Cytogenetics,Fetal,3
Cytogenetics,Prenatal,2
Cytogenetics,Pregnancy,2
Cytogenetics,Cleft lip,2
Cytogenetics,Celft lip and palate,2
Cytogenetics,Inheritance,2
Cytogenetics,Pedigree,2
Cytogenetics,MIscarriage,2
Cytogenetics,Pregnant woman,1
Cytogenetics,Tri-semester,1
Cytogenetics,Gain and loss,1
Cytogenetics,Copy number variation,1
Cytogenetics,Duplication,1
Cytogenetics,Abortion,1
Gene Regulation Lab,Protein level,8
Gene Regulation Lab,Expression level,8
Gene Regulation Lab,Blind girl,7
Gene Regulation Lab,Fibroblast cell,7
Gene Regulation Lab,Chromatin modification,7
Gene Regulation Lab,Transcription ,7
Gene Regulation Lab,Translation,7
Gene Regulation Lab,Alternative splicing,7
Gene Regulation Lab,SDS PAGE,6
Gene Regulation Lab,RT-PCR,6
Gene Regulation Lab,Western Blot,6
Gene Regulation Lab,Lentivirus,6
Gene Regulation Lab,retinal pigmented epithelial ,6
Gene Regulation Lab,Post-transcription modification,6
Gene Regulation Lab,Post-translation modification,6
Gene Regulation Lab,Cell line,5
Gene Regulation Lab,Cluster plate,5
Gene Regulation Lab,Vector plasmid,5
Gene Regulation Lab,Expression system,5
Gene Regulation Lab,Transfection ,5
Gene Regulation Lab,Autoradiography,4
Gene Regulation Lab,DNA methylation,4
Gene Regulation Lab,Skin cell,4
HPLC,High Performance  Liquid Chromatography,10.5
HPLC,Chromatogram,10.3
HPLC,Linear regression analysis,10.2
HPLC,Simulation,10
HPLC,Calibration curve,9
HPLC,Metformin Hydrochloride,9
HPLC,Standard curve,9
HPLC,Magnesium stearate,9
HPLC,Drug storage test,9
HPLC,Retention ,8
HPLC,Mobile phase,8
HPLC,Column,8
HPLC,Retention time,7
HPLC,Reversed phase,7
HPLC,Peak,7
HPLC,Acetonitrile,7
HPLC,C-18,7
HPLC,Hexane,7
HPLC,Drug test,6
HPLC,Polarity,6
HPLC,Non-Polar,6
HPLC,Methanol,6
HPLC,Silica,6
HPLC,Pharmacy,4
HPLC,Medicine,4
CSI,DNA fingerprint,10.5
CSI,Polymerase chain reaction,10.3
CSI,Primer,10.2
CSI,Gel Electrophoresis,10.1
CSI,Tandem repeat regions,10
CSI,DNA,9.5
CSI,DNA profiling,9
CSI,DNA polymerase,9
CSI,Small tandem repeats,9
CSI,STR,9
CSI,PCR mix,8
CSI,DNA sample,8
CSI,DNA ladder,8
CSI,DNA satellites,8
CSI,Nucleotides,7
CSI,DNA extraction,6
CSI,DNA replication,5
CSI,DNA template,5
CSI,Blood,5
Introductory Lab,acids and bases,10
Introductory Lab,pH calculations,9.9
Introductory Lab,pH simulation,9.6
Introductory Lab,blood typing,9.5
Introductory Lab,osmosis,9.4
Introductory Lab,rate of diffusion,9.3
Introductory Lab,water potential,9.2
Introductory Lab,blood types,8.2
Introductory Lab,solutions,8.1
Introductory Lab,Rhesus factor,8.1
Introductory Lab,biosafety,8
Introductory Lab,diffusion,8
Introductory Lab,strong acid dissociation,7
Introductory Lab,strong base dissociation,7
Introductory Lab,solvent,6.2
Introductory Lab,solute,6.2
Introductory Lab,hypotonic solution,6.1
Introductory Lab,hypertonic solution,6.1
Introductory Lab,hydronium,6
Introductory Lab,pKa value,6
Introductory Lab,Brønsted-Lowry definition,6
Introductory Lab,hydroxide,6
Introductory Lab,semipermeable membrane,6
Introductory Lab,H2SO4,5
Introductory Lab,ICE chart,5
Introductory Lab,alkalosis,5
Introductory Lab,molarity,4
Introductory Lab,equilibrium,4
Introductory Lab,concentrations,4
Introductory Lab,HCl,3
